iso3,hazard,rp,income_cat,di,dy
AGO,Flood,500.0,1.0,64.92021855963202,63.318406310054755
AGO,Flood,500.0,tot,31.09081364277725,31.091262015633863
AGO,Flood,1000.0,0.2,14.404259377329126,14.860185723525898
AGO,Flood,1000.0,0.4,29.50790168298928,30.39398816230402
AGO,Flood,1000.0,0.6,27.073034828960743,27.532980084504427
AGO,Flood,1000.0,0.8,24.22254749899603,24.107454309211253
AGO,Flood,1000.0,1.0,68.27178489527998,66.58727760661012
AGO,Flood,1000.0,tot,32.695905656711034,32.69637717723114
AGO,Flood,2500.0,0.2,15.518816719622654,16.01002124593178
AGO,Flood,2500.0,0.4,31.791132470146287,32.74578159926886
AGO,Flood,2500.0,0.6,29.16786309859834,29.66339750511402
AGO,Flood,2500.0,0.8,26.096813815430362,25.972815068173865
AGO,Flood,2500.0,1.0,73.55444588695282,71.73959659890912
AGO,Flood,2500.0,tot,35.22581439815009,35.22632240347953
AGO,Flood,5000.0,0.2,16.539470089032957,17.062980529117926
AGO,Flood,5000.0,0.4,33.8819959076896,34.89943112855143
AGO,Flood,5000.0,0.6,31.086197356159037,31.614322447313054
AGO,Flood,5000.0,0.8,27.813168962396016,27.681014970994532
AGO,Flood,5000.0,1.0,78.39203076123178,76.45782108158906
AGO,Flood,5000.0,tot,37.54257261530188,37.5431140315132
AGO,Flood,AAL,0.2,0.5913546597070303,0.6100723294076329
AGO,Flood,AAL,0.4,1.211421892740933,1.247799422103599
AGO,Flood,AAL,0.6,1.1114604978382907,1.1303431604557106
AGO,Flood,AAL,0.8,0.9944361565754789,0.9897111032216827
AGO,Flood,AAL,1.0,2.8028402618105,2.733684242860055
AGO,Flood,AAL,tot,1.3423026937344467,1.3423220516097358
AGO,all_hazards,10.0,0.2,5.219668872542471,5.388937376950452
AGO,all_hazards,10.0,0.4,10.813685300010802,11.150021743008967
AGO,all_hazards,10.0,0.6,9.126068284776803,9.287174712420859
AGO,all_hazards,10.0,0.8,7.401504437784207,7.344347523996559
AGO,all_hazards,10.0,1.0,20.83211523254235,20.22565946706215
AGO,all_hazards,10.0,tot,10.678608425531326,10.679228164687796
AGO,all_hazards,25.0,0.2,11.23791528691171,11.603607999071393
AGO,all_hazards,25.0,0.4,23.319333299936407,24.048196246252704
AGO,all_hazards,25.0,0.6,19.43591703760611,19.781051012215112
AGO,all_hazards,25.0,0.8,15.50823832998142,15.38038351862777
AGO,all_hazards,25.0,1.0,43.63840865485023,42.33394202507873
AGO,all_hazards,25.0,tot,22.627962521857178,22.629436160249142
AGO,all_hazards,50.0,0.2,17.581231540840207,18.15783485211383
AGO,all_hazards,50.0,0.4,36.616071066756234,37.77323924647671
AGO,all_hazards,50.0,0.6,29.648276748470312,30.18205851939169
AGO,all_hazards,50.0,0.8,22.73718555772251,22.520041212509707
AGO,all_hazards,50.0,1.0,63.94042553619842,61.9040308547907
AGO,all_hazards,50.0,tot,34.104638089997536,34.10744093705652
AGO,all_hazards,100.0,0.2,25.17422494386755,26.011264646743527
AGO,all_hazards,100.0,0.4,52.77018163779911,54.4700205564979
AGO,all_hazards,100.0,0.6,40.52642341939323,41.27507431280837
AGO,all_hazards,100.0,0.8,28.68378669289375,28.32937219347511
AGO,all_hazards,100.0,1.0,80.5563428296539,77.65161188572736
AGO,all_hazards,100.0,tot,45.542191904721506,45.54746871905046
AGO,all_hazards,250.0,0.2,44.92527084866924,46.44767539019444
AGO,all_hazards,250.0,0.4,95.02653765812347,98.1677341444331
AGO,all_hazards,250.0,0.6,67.48729733846326,68.78401217569252
AGO,all_hazards,250.0,0.8,41.46689778563044,40.725261415521786
AGO,all_hazards,250.0,1.0,116.15244149570438,110.99670264802864
AGO,all_hazards,250.0,tot,73.01168902531816,73.0242771547741
AGO,all_hazards,500.0,0.2,72.98646169703473,75.48390463720897
AGO,all_hazards,500.0,0.4,155.10109232449065,160.29501556736085
AGO,all_hazards,500.0,0.6,105.5706861589055,107.64426216190311
AGO,all_hazards,500.0,0.8,59.18383867438981,57.887066804251475
AGO,all_hazards,500.0,1.0,165.4628743189151,157.11030736874153
AGO,all_hazards,500.0,tot,111.66099063474717,111.68411130789318
AGO,all_hazards,1000.0,0.2,103.01470636360453,106.55521790319378
AGO,all_hazards,1000.0,0.4,219.37729132292964,226.76663632767423
AGO,all_hazards,1000.0,0.6,146.3774753614236,149.28280691689275
AGO,all_hazards,1000.0,0.8,78.25089107647068,76.36128407451932
AGO,all_hazards,1000.0,1.0,218.5370982627054,206.7632983957652
AGO,all_hazards,1000.0,tot,153.1114924774268,153.14584872360905
AGO,all_hazards,2500.0,0.2,165.5359988326108,171.24939548680584
AGO,all_hazards,2500.0,0.4,353.2393563766181,365.20399983167357
AGO,all_hazards,2500.0,0.6,231.14987076208243,235.78543576735302
AGO,all_hazards,2500.0,0.8,117.56661374749122,114.43836921685624
AGO,all_hazards,2500.0,1.0,327.953104819322,309.0571178823506
AGO,all_hazards,2500.0,tot,239.08898890762492,239.14686363700784
AGO,all_hazards,5000.0,0.2,239.17859340817947,247.45231126304574
AGO,all_hazards,5000.0,0.4,510.94035519037305,528.2976219555192
AGO,all_hazards,5000.0,0.6,330.845841411931,337.5181479230974
AGO,all_hazards,5000.0,0.8,163.56265965549332,158.97193206588318
AGO,all_hazards,5000.0,1.0,455.94274595604577,428.6585766392013
AGO,all_hazards,5000.0,tot,340.0940391244045,340.1797179693493
AGO,all_hazards,AAL,0.2,1.6243265265680962,1.679002594336639
AGO,all_hazards,AAL,0.4,3.4248148339425297,3.537003775256812
AGO,all_hazards,AAL,0.6,2.502246063796684,2.5496356952574235
