iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
MAR,Flood,4830.395078623178,44.0,5313.434586485496,38081173.0,0.00012684470298809277,0.00013952917328690205
MAR,Tsunami,2053.3301110599373,44.0,2258.663122165931,38081173.0,5.391982308580508e-05,5.931180539438559e-05
MAR,all_hazards,47892.41346495858,44.0,52681.654811454435,38081173.0,0.0012576401852158962,0.0013834042037374856
MDA,Earthquake,134.54598604152403,39.41,132.56143274741154,2389275.0,5.6312473884975164e-05,5.548186489517178e-05
MDA,Flood,5873.2568947299105,39.41,5786.626355532644,2389275.0,0.0024581753438720575,0.0024219172575499445
MDA,all_hazards,6007.8028807714345,39.41,5919.187788280055,2389275.0,0.002514487817757033,0.0024773991224451165
MDG,Earthquake,4112.322336949018,35.04,3602.3943671673396,31964956.0,0.00012865096191432324,0.00011269824263694715
MDG,Flood,55851.7767907999,35.04,48926.15646874071,31964956.0,0.001747281516383126,0.0015306186083516183
MDG,Storm surge,3700.998175083942,35.04,3242.074401373533,31964956.0,0.00011578298981809774,0.00010142589908065361
MDG,Tsunami,2099.9188614534273,35.04,1839.5289226332025,31964956.0,6.569440800899046e-05,5.7548301415875635e-05
MDG,Wind,18631.300933157283,35.04,16321.019617445778,31964956.0,0.0005828664657995238,0.0005105910240403828
MDG,all_hazards,84396.31709744356,35.04,73931.17377736056,31964956.0,0.002640276341924061,0.0023128820755254774
MEX,Earthquake,23673.362211042102,42.14,24939.887089332853,130861007.0,0.00018090463120952526,0.00019058302897923484
MEX,Flood,32622.50837648151,42.14,34367.81257462327,130861007.0,0.0002492912833574749,0.0002626283670170998
MEX,Storm surge,10352.50391196414,42.14,10906.362871254223,130861007.0,7.911068506422345e-05,8.334310671515942e-05
MEX,Tsunami,1711.4843696172109,42.14,1803.0487833917316,130861007.0,1.3078642819989998e-05,1.3778350210859462e-05
MEX,Wind,20578.78089601808,42.14,21679.745673955047,130861007.0,0.00015725678235089602,0.00016567002020666894
MEX,all_hazards,88938.63976512305,42.14,93696.85699255714,130861007.0,0.0006796420248021097,0.0007160028731290226
MKD,Earthquake,1149.6198057364584,39.02,1121.4541204959153,1792179.0,0.0006414648345597501,0.0006257489461130363
MKD,Flood,457.15413387543526,39.02,445.9538575954872,1792179.0,0.0002550828538195321,0.00024883332390095365
MKD,all_hazards,1606.7739396118936,39.02,1567.4079780914024,1792179.0,0.0008965476883792822,0.0008745822700139898
MLI,Earthquake,1129.1828308659021,41.89,1182.536719624316,24478595.0,4.612939716784816e-05,4.8309011184028985e-05
MLI,Flood,10541.013559571651,41.89,11039.076450261411,24478595.0,0.00043062167414313,0.0004509685482463929
MLI,all_hazards,11670.196390437553,41.89,12221.613169885728,24478595.0,0.00047675107131097815,0.0004992775594304219
MLT,Earthquake,162.6530401591438,37.64,153.05651078975433,574346.0,0.00028319695820836887,0.00026648833767407506
MLT,all_hazards,162.6530401591438,37.64,153.05651078975433,574346.0,0.00028319695820836887,0.00026648833767407506
MMR,Earthquake,49417.10317626815,44.64999999999999,55161.841420509314,54500091.0,0.000906734324099902,0.0010121421892765154
MMR,Flood,537562.6726751674,44.64999999999999,600054.3333736556,54500091.0,0.009863518809081758,0.01101015287063751
MMR,Storm surge,182.65079009965467,44.64999999999999,203.8839444487395,54500091.0,3.35138504813973e-06,3.740983559985973e-06
MMR,Tsunami,4596.629530419833,44.64999999999999,5130.9877133311375,54500091.0,8.434168541883413e-05,9.414640634877357e-05
MMR,Wind,16147.253296993575,44.64999999999999,18024.371492769074,54500091.0,0.00029627938230403276,0.0003307218604968765
MMR,all_hazards,607906.3094689487,44.64999999999999,678575.4179447138,54500091.0,0.011154225585952669,0.012450904310319663
MNE,Earthquake,172.26927309208207,43.49,187.29976716936625,623831.0,0.00027614734293756173,0.00030024119860886403
MNE,Flood,205.7376217535719,43.49,223.68822925157104,623831.0,0.00032979704720280314,0.0003585718395712477
MNE,Tsunami,2.4207680099430413,43.49,2.6319800188105718,623831.0,3.880486878566537e-06,4.219059358721467e-06
MNE,all_hazards,380.427662855597,43.49,413.6199764397479,623831.0,0.0006098248770189315,0.0006630320975388333
MNG,Earthquake,283.2067863084844,47.220000000000006,334.3256112371659,3524788.0,8.034718295355193e-05,9.484984947666807e-05
MNG,Flood,2189.400531300827,47.220000000000006,2584.5873272006265,3524788.0,0.0006211438904413051,0.0007332603626659607
MNG,all_hazards,2472.6073176093114,47.220000000000006,2918.9129384377925,3524788.0,0.0007014910733948571,0.0008281102121426288
MOZ,Earthquake,20969.478369791155,37.23,19517.341992683116,34631766.0,0.0006054983846273146,0.000563567621491873
MOZ,Flood,11648.760200843626,37.23,10842.083556935204,34631766.0,0.00033636055986413244,0.00031306759109354124
MOZ,Storm surge,1481.3236243531078,37.23,1378.741963366655,34631766.0,4.27735514369411e-05,3.9811482999932925e-05
MOZ,Tsunami,1822.9648701197773,37.23,1696.7245528639826,34631766.0,5.263851892854027e-05,4.899330149273885e-05
MOZ,Wind,2888.3977671766115,37.23,2688.376221799631,34631766.0,8.34031324644724e-05,7.762746554130769e-05
MOZ,all_hazards,38810.924832284276,37.23,36123.268287648585,34631766.0,0.0011206741473214006,0.0010430674626193935
MRT,Earthquake,545.3032868962584,47.59,648.7745855848235,5169395.0,0.0001054868677855452,0.0001255030009478524
MRT,Flood,4806.390752174514,47.59,5718.403397399628,5169395.0,0.0009297781949675957,0.001106203607462697
MRT,Tsunami,0.7615296837941847,47.59,0.9060299412941314,5169395.0,1.4731505017399226e-07,1.752680809445073e-07
MRT,all_hazards,5352.455568754566,47.59,6368.084012925746,5169395.0,0.0010354123778033148,0.0012318818764914937
MUS,Storm surge,424.91152026398197,40.28,427.8859009058298,1259509.0,0.0003373628296931439,0.0003397243695009959
MUS,Tsunami,229.80124530602396,40.28,231.40985402316613,1259509.0,0.00018245303948286512,0.00018373021075924518
MUS,Wind,319.1848069759194,40.28,321.41910062475085,1259509.0,0.0002534200287381189,0.00025519396893928576
MUS,all_hazards,973.8975725459254,40.28,980.7148555537469,1259509.0,0.000773235897914128,0.000778648549199527
MWI,Earthquake,8615.420997026513,30.92,6659.720430701495,21655286.0,0.00039784378728715533,0.0003075332475729711
MWI,Flood,3755.662666918178,30.92,2903.1272415277517,21655286.0,0.0001734293727138112,0.00013406090510777608
MWI,all_hazards,12371.08366394469,30.92,9562.847672229245,21655286.0,0.0005712731600009665,0.00044159415268074713
MYS,Earthquake,638.1179732131601,44.7,713.0968350657065,35557673.0,1.794599925628317e-05,2.0054654168896442e-05
